water network operative,Water network operatives maintain pipes and pumping stations used for water supply waste water removal and sewerage They perform planned maintenance and repair tasks and clear blockages in pipes and drains
green coffee buyer," Green coffee buyers purchase green coffee beans from producers all around the world commissioned by coffee roasters They have a deep knowledge of the process of coffee from the fruit to the cup 
"
economics lecturer,Economics lecturers are subject professors assistant professors teachers lectures assistant lecturers mentors who instruct students in their own specialised field of study economics They develop curriculum prepare classes lectures practical classes seminars trainings etc monitor learning outcomes supervise student study path They conduct academic research in their field of economics and present their findings at the conferences and in publications They are involved in some university management functions
motor vehicles parts advisor,Motor vehicles parts advisors sell motor vehicle parts order parts and identify alternative parts
hairdresser,Hairdressers offer beauty services such as cutting colouring bleaching permanent waving and styling clients hair They ask their clients about their hairstyle preferences in order to provide customised services Hairdressers use clippers scissors and razors They provide hair and scalp treatments and shampoo condition and rinse hair
art restorer,Restorers work to perform corrective treatment based on an evaluation of the aesthetic historic and scientific characteristics of art objects They determine the structural stability of art pieces and address problems of chemical and physical deterioration
presenter,Presenters host broadcast productions They are the face or voice of these programs and make announcements on different platforms such as radio television theatres or other establishments They ensure that their audience is entertained and introduce the artists or persons being interviewed
golf instructor,Golf instructors train and teach golf to individuals or groups They train their clients by demonstrating and explaining techniques such as the correct posture and swinging techniques They give feedback on how a student can do exercises better and improve the skill level The golf instructor advises what equipment is best suited for the student
domestic energy assessor,Domestic energy assessors advise individuals on energy supply for their homes They assess the individuals needs and recommend the appropriate source of energy and supplier attempting to secure energy sales They also advise on economic and environmental advantages of types of energy and create energy plans compliant with regulations and the technical requirements and conditions of the residence
membership administrator,Membership administrators ensure an effective membership administration documentation and communication They support the membership sales process the current membership enquiries and the renewal processes
hand lasting operator,Hand lasting operators shape and secure linings and uppers over the last by hand Hand lasting operators pull the forepart the waist and the seat of the upper over the last using handtools with the aim of obtaining the final shape of the footwear model They start by pulling the front part edges of the upper over the last and pressing the waist and the seat They then flatten the wiped edges and cut excess box toe and lining and use stitching or cementing to fix the shape
nanny,Nannies provide qualified care services to children on the premises of the employer They organise play activities and entertain children with games and other cultural and educative activities according to their respective age prepare meals give them bathes transport them from and to school and assist them with homework on a punctual basis
wholesale merchant in perfume and cosmetics,Wholesale merchants in perfume and cosmetics investigate potential wholesale buyers and suppliers and match their needs They conclude trades involving large quantities of goods
riveter,Riveters assemble several metal parts together by riveting guns rivet set and hammers or by operating a riveting machine that all perform the purpose of drilling holes on the rivet shank of the metal part and of inserting rivets bolts into these holes in order to fasten them together
stringed musical instrument maker,Stringed musical instrument makers create and assemble parts to create stringed instruments according to specified instructions or diagrams They sand wood measure and attach strings test quality of strings and inspect the finished instrument
textile pattern making machine operator,Textile pattern making machine operators create patterns designs and decoration for textiles and fabrics using machines and equipment They choose which materials to use and check the quality of the textiles both before and after their work
ICT test analyst,ICT test analysts work in testing environments assessing products checking for quality and accuracy or creating tests scripts They design tests which are then implemented by testers
hydraulic forging press worker,Hydraulic forging press workers set up and tend hydraulic forging presses designed to shape ferrous and nonferrous metal workpieces including pipes tubes and hollow profiles and other products of the first processing of steel in their desired form by use of compressive forces generated by a piston and fluid pressure
tissue paper perforating and rewinding operator,Tissue paper perforating and rewinding operators tend a machine that takes in tissue paper perforates it and rolls it up to create various types of sanitary paper
animal massage therapist,Animal massage therapists provide a therapeutic treatment following veterinary diagnosis or referral concentrating on manual and mechanical manipulation of soft tissues to promote healing and recovery in animals in accordance with national legislation
aircraft engine specialist,Aircraft engine specialists advise on maintaining procedures to engines of aircrafts and helicopters They perform operability tests to components and parts of aircrafts to diagnose suitability for usage and possible operations to improve performance They interpret and provide support to understand the technical specifications given by manufacturers for application at the airports premises
boxing instructor,"
Boxing instructors train individuals or groups in boxing They instruct clients during training and teach students the techniques of boxing such as stance defense and different kind of punches"
animal care attendant," Animal care attendants provide routine care for nonproduction animals which may include feeding watering cleaning exercise and enrichment grooming training and monitoring of the health and welfare in accordance with national legislation 
"
shop assistant,Shop assistants work in shops where they perform assistance duties The help shopkeepers in their daily work such as ordering and refilling of goods and stock providing general advice to customers selling products and maintaining the shop
fleet commander,Fleet commanders ensure that naval vessels are ready for inclusion in operations and are maintained in compliance with rules and regulations They also supervise naval personnel and are responsible for the operations of the naval service
